run_timestamp,model_alias,model_id,index,description,referring_type,traits_used,target_name,prediction,correct,invalid_output,strict_correct,raw_model_answer,inference_seconds,error
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,1,the gearbox mounting plate,technical_name,technical_name,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,6.1484,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,2,the large flat black rectangular plate,shape,size|color|shape,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0682,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,3,the base plate underneath all four colored rows,spatial,spatial,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0649,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,4,the plate to which all eight bearing support brackets are screwed,relationship,relationship|function,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0707,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,5,the large black rectangular mounting plate below every gear shaft and stand,mixed,size|color|shape|spatial|relationship,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0747,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,6,the rigid plate that supports and locates every gearbox row,function,function|relationship,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0687,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,7,"the broad black rectangular base beneath the white, red, green, and blue mechanisms",mixed,size|color|shape|spatial,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0843,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,8,black baseboard,mixed,color|technical_name,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0855,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,9,gearbox base,technical_name,technical_name,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0883,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,10,mounting plate,technical_name,technical_name,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,2.0932,
2026-08-22T22:53:13,gemma3-12b,google/gemma-3-12b-it,11,the radial shaft-support bearing,technical_name,technical_name,BEARING,BEARING,True,False,True,BEARING,2.1002,
